height_bin,row_count
"[48, 49)",17
"[49, 50)",214
"[50, 51)",20
"[51, 52)",1
"[52, 53)",1
"[53, 54)",23
"[54, 55)",33
"[55, 56)",17
"[56, 57)",99
"[57, 58)",131
"[58, 59)",380
"[59, 60)",1534
"[60, 61)",3738
"[61, 62)",4830
"[62, 63)",7165
"[63, 64)",7956
"[64, 65)",7788
"[65, 66)",6997
"[66, 67)",5411
"[67, 68)",5273
"[68, 69)",4812
"[69, 70)",2735
"[70, 71)",1490
"[71, 72)",878
"[72, 73)",602
"[73, 74)",326
"[74, 75)",153
"[75, 76)",68
"[76, 77)",27
"[77, 78)",9
"[78, 79)",6
"[79, 80)",5
"[80, 81)",3
"[81, 82)",0
"[82, 83)",0
"[83, 84)",0
