weight_bin,row_count
"[70, 75)",4
"[75, 80)",3
"[80, 85)",2
"[85, 90)",18
"[90, 95)",43
"[95, 100)",117
"[100, 105)",9894
"[105, 110)",524
"[110, 115)",846
"[115, 120)",1393
"[120, 125)",6854
"[125, 130)",1961
"[130, 135)",2226
"[135, 140)",2293
"[140, 145)",4617
"[145, 150)",1777
"[150, 155)",2084
"[155, 160)",1452
"[160, 165)",2947
"[165, 170)",1304
"[170, 175)",1063
"[175, 180)",918
"[180, 185)",1530
"[185, 190)",682
"[190, 195)",670
"[195, 200)",483
"[200, 205)",904
"[205, 210)",348
"[210, 215)",324
"[215, 220)",350
"[220, 225)",414
"[225, 230)",160
"[230, 235)",242
"[235, 240)",149
"[240, 245)",258
"[245, 250)",124
"[250, 255)",191
"[255, 260)",74
"[260, 265)",142
"[265, 270)",114
"[270, 275)",69
"[275, 280)",50
"[280, 285)",58
"[285, 290)",16
"[290, 295)",56
"[295, 300)",40
"[300, 305)",67
"[305, 310)",34
"[310, 315)",17
"[315, 320)",27
"[320, 325)",23
"[325, 330)",9
"[330, 335)",18
"[335, 340)",1
"[340, 345)",11
"[345, 350)",2
