size,row_count,pct_of_rows
MEDIUM,4972,18.97
SMALL,4080,15.57
LARGE,3553,13.56
X-LARGE,1993,7.61
S,979,3.74
M,779,2.97
X-SMALL,766,2.92
XX-LARGE,711,2.71
4,636,2.43
6,632,2.41
8,595,2.27
XS,590,2.25
10,485,1.85
12,472,1.8
L,349,1.33
14,335,1.28
16,301,1.15
2,271,1.03
18,238,0.91
3X-LARGE,182,0.69
XL,158,0.6
27,147,0.56
26,128,0.49
24,109,0.42
28,101,0.39
0,101,0.39
30,95,0.36
ONE,90,0.34
29,90,0.34
22,83,0.32
20,79,0.3
25,75,0.29
XXS,61,0.23
1X,58,0.22
8-10,57,0.22
7,50,0.19
4-6,49,0.19
31,49,0.19
XX-SMALL,45,0.17
00,43,0.16
5,38,0.15
3,37,0.14
LARGE-X-LARGE,37,0.14
4X-LARGE,35,0.13
SMALL-MEDIUM,33,0.13
000,31,0.12
6-8,30,0.11
9,28,0.11
32,26,0.1
12-14,24,0.09
10-12,22,0.08
14-16/1X,22,0.08
2X,22,0.08
13,21,0.08
SOLID,21,0.08
11,21,0.08
18-20/2X,21,0.08
22-24/3X,20,0.08
16-18,20,0.08
1XL,19,0.07
COLOR,19,0.07
15,19,0.07
XXX-LARGE,18,0.07
34,18,0.07
REGULARSIZE,18,0.07
1,17,0.06
2-4,17,0.06
27W,17,0.06
34D,16,0.06
26W,16,0.06
XXL,14,0.05
28W,14,0.05
5X-LARGE,13,0.05
3X,13,0.05
PRINTED,13,0.05
14-16,12,0.05
12/L,12,0.05
10-16,11,0.04
8-32,11,0.04
25W,11,0.04
33,10,0.04
30W,10,0.04
26/4X,10,0.04
8.5,10,0.04
32D,10,0.04
4S,8,0.03
S/M,8,0.03
34DD,8,0.03
36B,8,0.03
10/M,8,0.03
X-SMALL/27,8,0.03
36DD,7,0.03
MEDIUM/33,7,0.03
11-32,7,0.03
MEDIUM/30,7,0.03
28/5X,7,0.03
31W,6,0.02
38C,6,0.02
DOWN,6,0.02
36C,6,0.02
0S,6,0.02
MEDIUM/31,6,0.02
2-10,6,0.02
30/6X,6,0.02
MEDIUM-LARGE,6,0.02
32C,5,0.02
7.5,5,0.02
29W,5,0.02
34A,5,0.02
X-LARGE/34,5,0.02
4L,5,0.02
000R,5,0.02
4R,5,0.02
0-2,5,0.02
33W,5,0.02
FOR,5,0.02
32B,5,0.02
32X30,5,0.02
SMALL/28,5,0.02
REGULAR,4,0.02
MEDIUM/34,4,0.02
MEDIUMSTYLE,4,0.02
30X30,4,0.02
TALLSIZE,4,0.02
LARGE/34,4,0.02
SMALL/33,4,0.02
X-LARGE/31,4,0.02
STANDARDSIZE,4,0.02
9-34,4,0.02
16S,4,0.02
34B,4,0.02
RUFFLE,4,0.02
34C,4,0.02
6L,4,0.02
17,4,0.02
6X-LARGE,4,0.02
23,4,0.02
9-36,4,0.02
38DD,4,0.02
38D,4,0.02
37,4,0.02
6R,4,0.02
12L,4,0.02
XSMALL,4,0.02
PLAINSIZE,4,0.02
SMALL/26,4,0.02
MEDIUM/32,3,0.01
31X30,3,0.01
36,3,0.01
SMALL/30,3,0.01
SMALL/32,3,0.01
SHORTSIZE,3,0.01
PETITE,3,0.01
M/L,3,0.01
SMALL/27,3,0.01
0-12,3,0.01
10-32,3,0.01
38DDD,3,0.01
5-34,3,0.01
4X,3,0.01
24-26,3,0.01
0-4,3,0.01
00S,3,0.01
000S,3,0.01
40D,3,0.01
EXTRA,3,0.01
34X32,3,0.01
SHORT,3,0.01
DRAWSTRINGSIZE,3,0.01
15-36,3,0.01
6-34,3,0.01
X-LARGE/25,3,0.01
0R,3,0.01
X-LARGESTYLE,3,0.01
13-36,3,0.01
7-32,3,0.01
SWIMSUITSSIZE,3,0.01
5-32,3,0.01
CHART,3,0.01
0-10,3,0.01
ZERO,3,0.01
SMALL/31,3,0.01
1X-3X,3,0.01
00R,3,0.01
8R,3,0.01
LARGE/27,3,0.01
31X32,3,0.01
5-36,3,0.01
LARGESTYLE,3,0.01
SMALL/35,2,0.01
100CM,2,0.01
38,2,0.01
14-15,2,0.01
39,2,0.01
38W,2,0.01
LARGE/31,2,0.01
LARGE/37,2,0.01
13-34,2,0.01
6-30,2,0.01
7-34,2,0.01
10.5,2,0.01
LARGE/36,2,0.01
28IN,2,0.01
7X-LARGE,2,0.01
18-20,2,0.01
1X-2X,2,0.01
26-28,2,0.01
XL-2,2,0.01
14-34,2,0.01
30I,2,0.01
34DDD,2,0.01
9-30,2,0.01
6P,2,0.01
7-30,2,0.01
32DD,2,0.01
32F,2,0.01
36D,2,0.01
FLORIDA,2,0.01
34AA,2,0.01
MEDIUM/29,2,0.01
SEEMS,2,0.01
FIT,2,0.01
5-30,2,0.01
13-32,2,0.01
22-24,2,0.01
2S,2,0.01
32A,2,0.01
14S,2,0.01
9-32,2,0.01
AND,2,0.01
2R,2,0.01
12-32,2,0.01
6/REGULAR,2,0.01
30X32,2,0.01
W28,2,0.01
UP,2,0.01
I,2,0.01
28X32,2,0.01
SMALLSTYLE,2,0.01
12-34,2,0.01
4-32,2,0.01
3-34,2,0.01
42DD,2,0.01
TALL-34,2,0.01
PETITESIZE,2,0.01
6S,2,0.01
6R/28W,2,0.01
MEDIUM/36,2,0.01
2P,2,0.01
18-34,2,0.01
36/34,2,0.01
W24,2,0.01
10S,2,0.01
10L,2,0.01
28X28,2,0.01
MENSIZE,2,0.01
15-34,2,0.01
34/34,2,0.01
MEDIUM/28,2,0.01
BECAUSE,2,0.01
2-S,2,0.01
MEANS,1,0.0
EIGHT,1,0.0
44DD,1,0.0
ACCORDING,1,0.0
36D/DD,1,0.0
UNKNOWN,1,0.0
HITS,1,0.0
FLORAL,1,0.0
36G,1,0.0
WOMENSIZE,1,0.0
40G,1,0.0
TO,1,0.0
BEFORE,1,0.0
WISE,1,0.0
SMALLER,1,0.0
34G,1,0.0
OR,1,0.0
38H,1,0.0
40H,1,0.0
40C,1,0.0
4P,1,0.0
EXCHANGE,1,0.0
34H,1,0.0
A-COLORBLOCKSIZE,1,0.0
XXX,1,0.0
MEDIUM-SHORT,1,0.0
SQUARE,1,0.0
000L,1,0.0
27R,1,0.0
6X,1,0.0
00L,1,0.0
5X,1,0.0
2-R/26W,1,0.0
4-,1,0.0
00-S/0-S/24W,1,0.0
6/28W,1,0.0
X-SMALL/31,1,0.0
ELASTIC,1,0.0
X-SMALL-SMALL,1,0.0
38G/H,1,0.0
4-L/5-L/27W,1,0.0
36DDD,1,0.0
L/XL,1,0.0
8L,1,0.0
38B,1,0.0
2-R/3-R/26W,1,0.0
TALL,1,0.0
00/0/24,1,0.0
XXSL,1,0.0
36A,1,0.0
14L,1,0.0
00-L,1,0.0
10-30,1,0.0
28APPAREL,1,0.0
0-R,1,0.0
W27,1,0.0
32W,1,0.0
X-LARGE/37,1,0.0
30B,1,0.0
30G,1,0.0
000-S,1,0.0
MEDIUM/8,1,0.0
SMALL/36,1,0.0
16-20,1,0.0
10/L,1,0.0
0-25,1,0.0
6/7/28W,1,0.0
40DDD,1,0.0
X-SMALL/30,1,0.0
XX,1,0.0
SMAL,1,0.0
MEDIUMS,1,0.0
MEDIUM/35,1,0.0
00/24,1,0.0
42C,1,0.0
34W,1,0.0
31/32,1,0.0
30/32,1,0.0
32/32,1,0.0
29/30,1,0.0
32X33,1,0.0
32/30,1,0.0
38/30,1,0.0
US0-14,1,0.0
LEGGINGSIZE,1,0.0
26X30,1,0.0
34/30,1,0.0
30/30,1,0.0
W30,1,0.0
36/30,1,0.0
W36,1,0.0
38X32,1,0.0
SMALL/29,1,0.0
29X30,1,0.0
9-10,1,0.0
XXXX-LARGE,1,0.0
11-12,1,0.0
LG,1,0.0
28X30,1,0.0
29-30,1,0.0
0T,1,0.0
MED,1,0.0
WAIST28.6,1,0.0
32X32,1,0.0
33X32,1,0.0
XXLARGE,1,0.0
SMALL/REGULAR,1,0.0
LARGE/TALL,1,0.0
3X/REGULAR,1,0.0
4X/REGULAR,1,0.0
34X30,1,0.0
33/30,1,0.0
MEDIUM/REGULAR,1,0.0
4/REGULAR,1,0.0
34/32,1,0.0
3031,1,0.0
11-30,1,0.0
24W,1,0.0
28-34,1,0.0
20-22,1,0.0
30D,1,0.0
A-RUCHEDSIZE,1,0.0
32DDD,1,0.0
11-34,1,0.0
12-18,1,0.0
X-LARGE/32,1,0.0
LARGE/28,1,0.0
X-SMALL/29,1,0.0
36I,1,0.0
08,1,0.0
LARGE/32,1,0.0
000/23,1,0.0
20-30,1,0.0
0/25,1,0.0
6/S,1,0.0
0-S,1,0.0
W26,1,0.0
000-SHORT,1,0.0
0-30,1,0.0
12R,1,0.0
10/30,1,0.0
18R,1,0.0
W25,1,0.0
00-R,1,0.0
24/00,1,0.0
4-L,1,0.0
25S,1,0.0
04,1,0.0
30X28,1,0.0
30-30,1,0.0
30DDD,1,0.0
