cupsize,row_count,pct_of_rows
AA,169,0.06
A,2134,0.81
B,6443,2.44
C,5979,2.26
D,5039,1.9
DD,4685,1.77
DDD,1970,0.74
E,237,0.09
F,355,0.13
G,644,0.24
H,302,0.11
I,119,0.04
J,53,0.02
K,20,0.01
MEDIUMLARGEBRA,3,0.0
DDE,2,0.0
IMNOTTOSURE,2,0.0
TBHUNKNOWNATM,2,0.0
IN,1,0.0
AAA,1,0.0
CCUP,1,0.0
NOIDEA,1,0.0
SMALL,3,0.0
DONTKNOW,2,0.0
BREASTFEEDING,3,0.0
NA,16,0.01
NOTSURE,5,0.0
BB,6,0.0
DDDE,10,0.0
INCHES,12,0.0
DDDF,13,0.0
MEDIUM,1,0.0
ACUP,19,0.01
S,19,0.01
GORABOVE,26,0.01
GG,38,0.01
CM,69,0.03
EE,4,0.0
QUOT,1,0.0
